Год;Месяц;Компания;Бренд;Модель;Модификация;Год выпуска;Страна-производитель;Вид топлива;Объём двиг, л,;Коробка передач;Тип привода;Сегмент;Регион;Наименование дилерского центра;Тип клиента;Форма расчета;Количество;Цена, USD;Продажа, USD;Область;Сегментация 2013;Класс 2013;Сегментация Eng;Локализация производства
2019;Май;Mercur Auto;Audi;A3;TFSI;2018;Германия;Бензин;1,4;S-tronic;передний;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;безналичный;1;28115;28115;г.Алматы;Легковые автомобили;C класс;C;Импорт
2019;Август;Mercur Auto;Audi;A3;TFSI;2018;Германия;Бензин;1,4;S-tronic;передний;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Юр. Лицо;наличный;1;32246,99;32246,99;г.Алматы;Легковые автомобили;C класс;C;Импорт
2019;Апрель;Mercur Auto;Audi;A4;TFSI;2018;Германия;Бензин;1,4;S-Tronic;FWD;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;безналичный;1;32000;32000;г.Алматы;Легковые автомобили;D класс;D;Импорт
2019;Июль;Mercur Auto;Audi;A4;TFSI;2018;Германия;Бензин;1,4;S-tronic;передний;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Юр. Лицо;безналичный;1;31929;31929;г.Алматы;Легковые автомобили;D класс;D;Импорт
2019;Июль;Mercur Auto;Audi;A4;TFSI;2018;Германия;Бензин;1,4;S-tronic;передний;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;наличный;1;31929;31929;г.Алматы;Легковые автомобили;D класс;D;Импорт
2019;Февраль;Mercur Auto;Audi;A6;TFSI;2017;Германия;Бензин;2;S-Tronic;quattro;Легковые автомобили Premium;Нур-Султан;Mercur Auto Астана;Физ. Лицо;Наличная;1;42608,25485;42608,25485;г.Нур-Султан;Легковые автомобили;E класс;E;Импорт
2019;Май;Mercur Auto;Audi;A6;TFSI;2019;Германия;Бензин;3;S-tronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;наличный;1;82344;82344;г.Алматы;Легковые автомобили;E класс;E;Импорт
2019;Июнь;Mercur Auto;Audi;A6;TFSI;2019;Германия;Бензин;3;S-tronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;наличный;1;78940;78940;г.Алматы;Легковые автомобили;E класс;E;Импорт
2019;Июнь;Mercur Auto;Audi;A6;TFSI;2019;Германия;Бензин;3;S-tronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;наличный;1;78940;78940;г.Алматы;Легковые автомобили;E класс;E;Импорт
2019;Июнь;Mercur Auto;Audi;A6;TFSI Allroad;2017;Германия;Бензин;3;S-tronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Юр. Лицо;безналичный;1;64474;64474;г.Алматы;Легковые автомобили;E класс;E;Импорт
2019;Июль;Mercur Auto;Audi;A6;TFSI;2019;Германия;Бензин;3;S-tronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Юр. Лицо;безналичный;1;84329;84329;г.Алматы;Легковые автомобили;E класс;E;Импорт
2019;Август;Mercur Auto;Audi;A6;TFSI;2019;Германия;Бензин;3;S-tronic;quattro;Легковые автомобили Premium;Нур-Султан;Mercur Auto Астана;Физ. Лицо;безналичный;1;88028,62533;88028,62533;г.Нур-Султан;Легковые автомобили;E класс;E;Импорт
2019;Август;Mercur Auto;Audi;A6;TFSI;2019;Германия;Бензин;3;S-tronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;безналичный;1;88028,62533;88028,62533;г.Алматы;Легковые автомобили;E класс;E;Импорт
2019;Сентябрь;Mercur Auto;Audi;A7;TFSI;2018;Германия;Бензин;3;Tiptronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;Наличная;1;91600;91600;г.Алматы;Легковые автомобили;E класс;E;Импорт
2019;Сентябрь;Mercur Auto;Audi;A7;TFSI;2018;Германия;Бензин;3;Tiptronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;Наличная;1;79500;79500;г.Алматы;Легковые автомобили;E класс;E;Импорт
2019;Январь;Mercur Auto;Audi;A8;A8L TFSI;2018;Германия;Бензин;3;Tiptronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Юр. Лицо;;1;129935,2075;129935,2075;г.Алматы;Легковые автомобили;F класс;F;Импорт
2019;Июль;Mercur Auto;Audi;A8;A8L TFSI;2018;Германия;Бензин;3;Tiptronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Физ. Лицо;наличный;1;91132;91132;г.Алматы;Легковые автомобили;F класс;F;Импорт
2019;Июль;Mercur Auto;Audi;A8;A8L TFSI;2018;Германия;Бензин;3;Tiptronic;quattro;Легковые автомобили Premium;Алматы;Mercur Auto Алматы;Юр. Лицо;безналичный;1;91132;91132;г.Алматы;Легковые автомобили;F класс;F;Импорт
