Sale_Date,Company,Brand,Model,Production_Year,Country,Fuel_Type,Engine_Volume,Transmission,Drive_Type,Region,Area,Dealer_Center,Segment_2013,Class_2013,Quantity,Price_USD,Total_Price_USD
2019-05-31,Меркур Авто,Audi,A3,2018,DEU,F,1.4,Автомат,FWD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,C класс,1.0,28115.0,28115.0
2019-08-31,Меркур Авто,Audi,A3,2018,DEU,F,1.4,Автомат,FWD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,C класс,1.0,32246.99,32246.99
2019-04-30,Меркур Авто,Audi,A4,2018,DEU,F,1.4,Автомат,FWD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,D класс,1.0,32000.0,32000.0
2019-07-31,Меркур Авто,Audi,A4,2018,DEU,F,1.4,Автомат,FWD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,D класс,1.0,31929.0,31929.0
2019-02-28,Меркур Авто,Audi,A6,2017,DEU,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Mercur Auto Астана,Легковые автомобили,E класс,1.0,42608.25485,42608.25485
2019-05-31,Меркур Авто,Audi,A6,2019,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,E класс,1.0,82344.0,82344.0
2019-06-30,Меркур Авто,Audi,A6,2019,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,E класс,1.0,78940.0,78940.0
2019-06-30,Меркур Авто,Audi,A6,2017,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,E класс,1.0,64474.0,64474.0
2019-07-31,Меркур Авто,Audi,A6,2019,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,E класс,1.0,84329.0,84329.0
2019-08-31,Меркур Авто,Audi,A6,2019,DEU,F,3.0,Автомат,4WD,Нур-султан,Г.нур-султан,Mercur Auto Астана,Легковые автомобили,E класс,1.0,88028.62533,88028.62533
2019-08-31,Меркур Авто,Audi,A6,2019,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,E класс,1.0,88028.62533,88028.62533
2019-09-30,Меркур Авто,Audi,A7,2018,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,E класс,1.0,91600.0,91600.0
2019-09-30,Меркур Авто,Audi,A7,2018,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,E класс,1.0,79500.0,79500.0
2019-01-31,Меркур Авто,Audi,A8,2018,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,F класс,1.0,129935.2075,129935.2075
2019-07-31,Меркур Авто,Audi,A8,2018,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,F класс,1.0,91132.0,91132.0
2019-09-30,Меркур Авто,Audi,A8,2018,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,F класс,1.0,121300.0,121300.0
2019-09-30,Меркур Авто,Audi,A8,2018,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Легковые автомобили,F класс,1.0,124300.0,124300.0
2019-01-31,Меркур Авто,Audi,Q5,2017,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Внедорожники,Среднеразмерные SUV,1.0,47835.59084,47835.59084
2019-02-28,Меркур Авто,Audi,Q5,2017,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Внедорожники,Среднеразмерные SUV,1.0,49296.33248,49296.33248
2019-03-31,Меркур Авто,Audi,Q5,2017,DEU,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Mercur Auto Астана,Внедорожники,Среднеразмерные SUV,1.0,49100.0,49100.0
2019-03-31,Меркур Авто,Audi,Q5,2017,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Внедорожники,Среднеразмерные SUV,1.0,56563.0,56563.0
2019-03-31,Меркур Авто,Audi,Q5,2017,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Внедорожники,Среднеразмерные SUV,1.0,56250.0,56250.0
2019-03-31,Меркур Авто,Audi,Q5,2017,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Внедорожники,Среднеразмерные SUV,1.0,56719.0,56719.0
2019-03-31,Меркур Авто,Audi,Q5,2017,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Внедорожники,Среднеразмерные SUV,1.0,58750.0,58750.0
2019-08-31,Меркур Авто,Audi,Q5,2017,DEU,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Mercur Auto Астана,Внедорожники,Среднеразмерные SUV,1.0,58723.466,58723.466
2019-03-31,Меркур Авто,Audi,Q7,2017,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Внедорожники,Полноразмерные SUV,1.0,88750.0,88750.0
2019-05-31,Меркур Авто,Audi,Q7,2018,DEU,D,3.0,Автомат,4WD,Алматы,Г.алматы,Mercur Auto Алматы,Внедорожники,Полноразмерные SUV,1.0,72108.0,72108.0
2019-05-31,Меркур Авто,Audi,Q7,2017,DEU,F,3.0,Автомат,4WD,Нур-султан,Г.нур-султан,Mercur Auto Астана,Внедорожники,Полноразмерные SUV,1.0,72215.0,72215.0
2019-05-31,Автоцентр-Бавария,BMW,3 серия,2019,DEU,F,2.0,Автомат,RWD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Легковые автомобили,D класс,2.0,41038.50199,82077.00398
2019-07-31,Автоцентр-Бавария,BMW,3 серия,2018,DEU,F,2.0,Автомат,RWD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,D класс,1.0,40635.43936,40635.43936
2019-01-31,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,RWD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Легковые автомобили,E класс,1.0,45118.74071,45118.74071
2019-01-31,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,RWD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,E класс,1.0,45118.74071,45118.74071
2019-01-31,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,RWD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,E класс,1.0,37560.18878,37560.18878
2019-02-28,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,RWD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Легковые автомобили,E класс,1.0,37611.10292,37611.10292
2019-02-28,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Легковые автомобили,E класс,1.0,50769.16679,50769.16679
2019-02-28,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,E класс,1.0,50769.16679,50769.16679
2019-03-31,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Легковые автомобили,E класс,4.0,50885.94164,203543.7666
2019-03-31,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,RWD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Легковые автомобили,E класс,2.0,45283.81963,90567.63926
2019-03-31,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,RWD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Легковые автомобили,E класс,1.0,37697.61273,37697.61273
2019-03-31,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,E класс,2.0,50885.94164,101771.8833
2019-04-30,Автоцентр-Бавария,BMW,5 серия,2019,DEU,F,4.4,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Легковые автомобили,E класс,1.0,121724.0553,121724.0553
2019-04-30,Автоцентр-Бавария,BMW,5 серия,2019,DEU,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Легковые автомобили,E класс,3.0,50544.46485,151633.3945
2019-04-30,Автоцентр-Бавария,BMW,5 серия,2019,DEU,F,4.4,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,E класс,1.0,121724.0553,121724.0553
2019-04-30,Автоцентр-Бавария,BMW,5 серия,2019,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,E класс,3.0,50544.46485,151633.3945
2019-05-31,Автоцентр-Бавария,BMW,5 серия,2018,DEU,F,2.0,Автомат,4WD,Усть-каменогорск,Восточно-казахстанская Область,Автоцентр Бавария Восток,Легковые автомобили,E класс,1.0,48996.10625,48996.10625
